         156           2
      1    1      0.1028
      1    2     -0.1028
      2    1      0.0571
      2    2     -0.0571
      3    1     -0.1028
      3    2      0.1028
      4    1     -0.1028
      4    2      0.1028
      5    1      0.0000
      5    2      0.0000
      6    1     -0.1028
      6    2      0.1028
      7    1      0.0000
      7    2      0.0000
      8    1      0.0457
      8    2     -0.0457
      9    1     -0.0457
      9    2      0.0457
     10    1      0.0000
     10    2      0.0000
     11    1     -0.0457
     11    2      0.0457
     12    1      0.0000
     12    2      0.0000
     13    1      0.0000
     13    2      0.0000
     14    1     -0.0457
     14    2      0.0457
     15    1      0.0457
     15    2     -0.0457
     16    1     -0.0571
     16    2      0.0571
     17    1      0.0182
     17    2     -0.0182
     18    1      0.0000
     18    2      0.0000
     19    1      1.1896
     19    2     -1.1896
     20    1      0.0000
     20    2      0.0000
     21    1      0.3012
     21    2     -0.3012
     22    1      1.1575
     22    2     -1.1575
     23    1      0.0000
     23    2      0.0000
     24    1     -0.3988
     24    2      0.3988
     25    1     -0.0946
     25    2      0.0946
     26    1      0.0000
     26    2      0.0000
     27    1     -0.0946
     27    2      0.0946
     28    1     -0.0946
     28    2      0.0946
     29    1      0.0000
     29    2      0.0000
     30    1     -0.0236
     30    2      0.0236
     31    1      0.0000
     31    2      0.0000
     32    1      0.0236
     32    2     -0.0236
     33    1     -0.0946
     33    2      0.0946
     34    1     -0.0946
     34    2      0.0946
     35    1     -0.0236
     35    2      0.0236
     36    1     -0.0709
     36    2      0.0709
     37    1      0.0946
     37    2     -0.0946
     38    1     -0.0946
     38    2      0.0946
     39    1      0.0236
     39    2     -0.0236
     40    1      0.2766
     40    2     -0.2766
     41    1      0.0116
     41    2     -0.0116
     42    1      0.0815
     42    2     -0.0815
     43    1     -0.1023
     43    2      0.1023
     44    1      0.0000
     44    2      0.0000
     45    1      0.0193
     45    2     -0.0193
     46    1     -0.0771
     46    2      0.0771
     47    1     -0.0771
     47    2      0.0771
     48    1     -0.1880
     48    2      0.1880
     49    1     -0.0918
     49    2      0.0918
     50    1      0.0000
     50    2      0.0000
     51    1      0.3713
     51    2     -0.3713
     52    1      0.0964
     52    2     -0.0964
     53    1      1.2727
     53    2     -1.2727
     54    1     -0.0428
     54    2      0.0428
     55    1     -0.0964
     55    2      0.0964
     56    1      0.0964
     56    2     -0.0964
     57    1      0.0535
     57    2     -0.0535
     58    1      0.0000
     58    2      0.0000
     59    1     -0.0428
     59    2      0.0428
     60    1      0.0428
     60    2     -0.0428
     61    1     -0.0535
     61    2      0.0535
     62    1      0.0000
     62    2      0.0000
     63    1     -0.0428
     63    2      0.0428
     64    1      0.0000
     64    2      0.0000
     65    1      0.0428
     65    2     -0.0428
     66    1      0.0428
     66    2     -0.0428
     67    1      0.0964
     67    2     -0.0964
     68    1      0.0000
     68    2      0.0000
     69    1      0.0000
     69    2      0.0000
     70    1      0.0000
     70    2      0.0000
     71    1      0.0000
     71    2      0.0000
     72    1     -0.4059
     72    2      0.4059
     73    1      0.3518
     73    2     -0.3518
     74    1      0.5105
     74    2     -0.5105
     75    1      0.0586
     75    2     -0.0586
     76    1      0.0000
     76    2      0.0000
     77    1      0.0227
     77    2     -0.0227
     78    1      0.0681
     78    2     -0.0681
     79    1      0.0681
     79    2     -0.0681
     80    1      0.0227
     80    2     -0.0227
     81    1      0.0000
