         156           2
      1    1      0.1074
      1    2     -0.0982
      2    1      0.1074
      2    2     -0.0069
      3    1     -0.0982
      3    2      0.1074
      4    1     -0.0982
      4    2      0.1074
      5    1     -0.0069
      5    2     -0.0069
      6    1     -0.0982
      6    2      0.1074
      7    1     -0.0069
      7    2     -0.0069
      8    1     -0.0069
      8    2     -0.0982
      9    1     -0.0982
      9    2     -0.0069
     10    1     -0.0982
     10    2     -0.0982
     11    1     -0.0982
     11    2     -0.0069
     12    1     -0.0982
     12    2     -0.0982
     13    1     -0.0069
     13    2     -0.0069
     14    1     -0.0982
     14    2     -0.0069
     15    1     -0.0069
     15    2     -0.0982
     16    1     -0.0069
     16    2      0.1074
     17    1      0.3661
     17    2      0.3297
     18    1      0.1217
     18    2      0.1217
     19    1      1.8335
     19    2     -0.5457
     20    1      0.1809
     20    2      0.1809
     21    1      0.6035
     21    2      0.0011
     22    1      1.1850
     22    2     -1.1301
     23    1      0.0898
     23    2      0.0898
     24    1      0.8146
     24    2      1.6122
     25    1     -0.0709
     25    2      0.1182
     26    1     -0.0709
     26    2     -0.0709
     27    1     -0.0709
     27    2      0.1182
     28    1     -0.0709
     28    2      0.1182
     29    1     -0.0709
     29    2     -0.0709
     30    1     -0.0709
     30    2     -0.0236
     31    1      0.1182
     31    2      0.1182
     32    1     -0.0236
     32    2     -0.0709
     33    1     -0.0709
     33    2      0.1182
     34    1     -0.0709
     34    2      0.1182
     35    1     -0.0709
     35    2     -0.0236
     36    1     -0.0236
     36    2      0.1182
     37    1      0.1182
     37    2     -0.0709
     38    1     -0.0709
     38    2      0.1182
     39    1     -0.0236
     39    2     -0.0709
     40    1      0.2741
     40    2     -0.2792
     41    1     -0.0419
     41    2     -0.0652
     42    1      0.1210
     42    2     -0.0419
     43    1     -0.1608
     43    2      0.0438
     44    1     -0.0732
     44    2     -0.0732
     45    1     -0.0347
     45    2     -0.0732
     46    1     -0.0347
     46    2      0.1195
     47    1     -0.0347
     47    2      0.1195
     48    1     -0.0228
     48    2      0.3533
     49    1     -0.0626
     49    2      0.1209
     50    1      0.1209
     50    2      0.1209
     51    1      0.4319
     51    2     -0.3108
     52    1      0.1092
     52    2     -0.0835
     53    1      2.2074
     53    2     -0.3381
     54    1     -0.0835
     54    2      0.0021
     55    1     -0.0835
     55    2      0.1092
     56    1      0.1092
     56    2     -0.0835
     57    1      0.1092
     57    2      0.0021
     58    1      0.0021
     58    2      0.0021
     59    1     -0.0835
     59    2      0.0021
     60    1      0.0021
     60    2     -0.0835
     61    1      0.0021
     61    2      0.1092
     62    1     -0.0835
     62    2     -0.0835
     63    1     -0.0835
     63    2      0.0021
     64    1      0.0021
     64    2      0.0021
     65    1      0.0021
     65    2     -0.0835
     66    1      0.0021
     66    2     -0.0835
     67    1      0.1092
     67    2     -0.0835
     68    1      0.0021
     68    2      0.0021
     69    1      0.2573
     69    2      0.2573
     70    1     -0.0452
     70    2     -0.0452
     71    1      1.6011
     71    2      1.6011
     72    1     -0.5620
     72    2      0.2498
     73    1      0.0270
     73    2     -0.6766
     74    1     -0.0682
     74    2     -1.0892
     75    1      0.1085
     75    2     -0.0088
     76    1      0.5676
     76    2      0.5676
     77    1     -0.0409
     77    2     -0.0863
     78    1      0.0954
     78    2     -0.0409
     79    1      0.0954
     79    2     -0.0409
     80    1     -0.0409
     80    2     -0.0863
     81    1      0.0954
     81    2      0.0954
     82    1     -0.0409
     82    2     -0.0863
     83    1     -0.0863
     83    2      0.0954
     84    1      0.0954
     84    2     -0.0409
     85    1      0.0954
     85    2     -0.0409
     86    1     -0.0409
     86    2     -0.0409
     87    1     -0.0863
     87    2      0.0954
     88    1     -0.0409
     88    2      0.0954
     89    1      0.0954
     89    2     -0.0409
     90    1      0.0954
     90    2     -0.0409
     91    1     -0.0409
     91    2     -0.0409
     92    1     -0.2164
     92    2      0.2972
     93    1      0.0972
     93    2     -0.0540
     94    1      0.0972
     94    2     -0.0756
     95    1      0.0861
     95    2      0.0861
     96    1     -0.0464
     96    2     -0.0820
     97    1     -0.0820
     97    2      0.0963
     98    1     -0.0820
     98    2     -0.0820
     99    1      0.0963
     99    2     -0.0464
    100    1     -0.0902
    100    2      0.2659
    101    1     -0.0527
    101    2      0.0971
    102    1      0.0971
    102    2     -0.0527
    103    1      0.3724
    103    2      0.0019
    104    1     -0.0170
    104    2     -0.0170
    105    1      2.1672
    105    2     -0.3539
    106    1     -0.1018
    106    2     -0.0170
    107    1      0.0891
    107    2     -0.1018
    108    1      0.0891
    108    2      0.0891
    109    1     -0.0170
    109    2     -0.1018
    110    1      0.0891
    110    2     -0.1018
    111    1     -0.0170
    111    2      0.0891
    112    1     -0.0170
    112    2      0.0891
    113    1     -0.0170
    113    2      0.0891
    114    1      0.0891
    114    2     -0.1018
    115    1      0.0891
    115    2     -0.1018
    116    1     -0.1018
    116    2     -0.1018
    117    1     -0.1018
    117    2      0.0891
    118    1     -0.0170
    118    2     -0.1018
    119    1      0.0891
    119    2      0.0891
    120    1      0.0891
    120    2     -0.0170
    121    1      0.2331
    121    2      0.2331
    122    1     -0.0708
    122    2     -0.0594
    123    1     -0.6495
    123    2     -0.6535
    124    1      0.3742
    124    2     -0.5180
    125    1      0.7701
    125    2      0.7701
    126    1     -1.0753
    126    2      1.3340
    127    1     -0.0826
    127    2      0.0000
    128    1      1.4013
    128    2     -1.2026
    129    1      0.1179
    129    2     -0.0786
    130    1      0.1179
    130    2     -0.0295
    131    1      0.1179
    131    2      0.1179
    132    1      0.1179
    132    2     -0.0786
    133    1      0.1179
    133    2     -0.0295
    134    1     -0.0295
    134    2      0.1179
    135    1     -0.0295
    135    2      0.1179
    136    1     -0.0786
    136    2     -0.0295
    137    1     -0.0786
    137    2      0.1179
    138    1     -0.0295
    138    2      0.1179
    139    1     -0.0786
    139    2     -0.0786
    140    1      0.1179
    140    2      0.1179
    141    1     -0.0295
    141    2     -0.0295
    142    1     -0.0786
    142    2     -0.0295
    143    1      0.1179
    143    2     -0.0295
    144    1      0.3941
    144    2     -0.1489
    145    1      0.1211
    145    2     -0.0388
    146    1     -0.0388
    146    2     -0.0388
    147    1      0.0673
    147    2     -0.1283
    148    1      0.1196
    148    2      0.1196
    149    1      0.1196
    149    2     -0.0673
    150    1      0.1196
    150    2     -0.0673
    151    1     -0.0299
    151    2      0.1196
    152    1      0.2486
    152    2      0.1340
    153    1     -0.0665
    153    2      0.1208
    154    1     -0.0407
    154    2     -0.0665
    155    1      0.3617
    155    2     -0.4430
    156    1     -0.0982
    156    2     -0.0069
