,0
2030-01-07,256.73257
2030-01-14,256.73257
2030-01-21,256.73257
2030-01-28,256.73257
2030-02-04,256.73257
2030-02-11,256.73257
2030-02-18,256.73257
2030-02-25,256.73257
2030-03-04,256.73257
2030-03-11,256.73257
2030-03-18,256.73257
2030-03-25,256.73257
2030-04-01,256.73257
2030-04-08,256.73257
2030-04-15,256.73257
2030-04-22,256.73257
2030-04-29,256.73257
2030-05-06,256.73257
2030-05-13,256.73257
2030-05-20,256.73257
2030-05-27,256.73257
2030-06-03,256.73257
2030-06-10,256.73257
2030-06-17,256.73257
2030-06-24,256.73257
2030-07-01,256.73257
2030-07-08,256.73257
2030-07-15,256.73257
2030-07-22,256.73257
2030-07-29,256.73257
2030-08-05,256.73257
2030-08-12,256.73257
2030-08-19,256.73257
2030-08-26,256.73257
2030-09-02,256.73257
2030-09-09,256.73257
2030-09-16,256.73257
2030-09-23,256.73257
2030-09-30,256.73257
2030-10-07,256.73257
2030-10-14,256.73257
2030-10-21,256.73257
2030-10-28,256.73257
2030-11-04,256.73257
2030-11-11,256.73257
2030-11-18,256.73257
2030-11-25,256.73257
2030-12-02,256.73257
2030-12-09,256.73257
2030-12-16,256.73257
2030-12-23,256.73257
2030-12-30,256.73257
