,0
2030-01-07,447.79161
2030-01-14,447.79161
2030-01-21,447.79161
2030-01-28,447.79161
2030-02-04,447.79161
2030-02-11,447.79161
2030-02-18,447.79161
2030-02-25,447.79161
2030-03-04,447.79161
2030-03-11,447.79161
2030-03-18,447.79161
2030-03-25,447.79161
2030-04-01,447.79161
2030-04-08,447.79161
2030-04-15,447.79161
2030-04-22,447.79161
2030-04-29,447.79161
2030-05-06,447.79161
2030-05-13,447.79161
2030-05-20,447.79161
2030-05-27,447.79161
2030-06-03,447.79161
2030-06-10,447.79161
2030-06-17,447.79161
2030-06-24,447.79161
2030-07-01,447.79161
2030-07-08,447.79161
2030-07-15,447.79161
2030-07-22,447.79161
2030-07-29,447.79161
2030-08-05,447.79161
2030-08-12,447.79161
2030-08-19,447.79161
2030-08-26,447.79161
2030-09-02,447.79161
2030-09-09,447.79161
2030-09-16,447.79161
2030-09-23,447.79161
2030-09-30,447.79161
2030-10-07,447.79161
2030-10-14,447.79161
2030-10-21,447.79161
2030-10-28,447.79161
2030-11-04,447.79161
2030-11-11,447.79161
2030-11-18,447.79161
2030-11-25,447.79161
2030-12-02,447.79161
2030-12-09,447.79161
2030-12-16,447.79161
2030-12-23,447.79161
2030-12-30,447.79161
