,0
2030-01-07,0.0
2030-01-14,0.0
2030-01-21,0.0
2030-01-28,0.0
2030-02-04,0.0
2030-02-11,0.0
2030-02-18,0.0
2030-02-25,0.0
2030-03-04,0.0
2030-03-11,0.0
2030-03-18,0.0
2030-03-25,0.0
2030-04-01,0.0
2030-04-08,0.0
2030-04-15,0.0
2030-04-22,0.0
2030-04-29,0.0
2030-05-06,4.7124939999999995
2030-05-13,4.7124939999999995
2030-05-20,5.958494
2030-05-27,5.958494
2030-06-03,5.958494
2030-06-10,5.958494
2030-06-17,5.958494
2030-06-24,5.958494
2030-07-01,5.958494
2030-07-08,5.958494
2030-07-15,5.958494
2030-07-22,5.958494
2030-07-29,5.958494
2030-08-05,5.958494
2030-08-12,5.958494
2030-08-19,5.958494
2030-08-26,5.958494
2030-09-02,5.958494
2030-09-09,5.958494
2030-09-16,5.958494
2030-09-23,5.958494
2030-09-30,5.958494
2030-10-07,1.246
2030-10-14,1.246
2030-10-21,0.0
2030-10-28,0.0
2030-11-04,0.0
2030-11-11,0.0
2030-11-18,0.0
2030-11-25,0.0
2030-12-02,0.0
2030-12-09,0.0
2030-12-16,0.0
2030-12-23,0.0
2030-12-30,0.0
