,0
2030-01-07,88.9853
2030-01-14,88.9853
2030-01-21,88.9853
2030-01-28,88.9853
2030-02-04,88.9853
2030-02-11,88.9853
2030-02-18,88.9853
2030-02-25,88.9853
2030-03-04,88.9853
2030-03-11,88.9853
2030-03-18,88.9853
2030-03-25,88.9853
2030-04-01,88.9853
2030-04-08,86.6312
2030-04-15,86.6312
2030-04-22,86.6312
2030-04-29,86.6312
2030-05-06,86.6312
2030-05-13,86.6312
2030-05-20,86.6312
2030-05-27,86.6312
2030-06-03,86.6312
2030-06-10,86.6312
2030-06-17,86.6312
2030-06-24,86.6312
2030-07-01,86.6312
2030-07-08,86.6312
2030-07-15,86.6312
2030-07-22,86.6312
2030-07-29,86.6312
2030-08-05,86.6312
2030-08-12,86.6312
2030-08-19,86.6312
2030-08-26,86.6312
2030-09-02,86.6312
2030-09-09,84.7373
2030-09-16,84.7373
2030-09-23,84.7373
2030-09-30,84.7373
2030-10-07,84.7373
2030-10-14,84.7373
2030-10-21,84.7373
2030-10-28,84.7373
2030-11-04,84.7373
2030-11-11,86.6312
2030-11-18,86.6312
2030-11-25,88.9853
2030-12-02,71.2853
2030-12-09,71.2853
2030-12-16,71.2853
2030-12-23,71.2853
2030-12-30,71.2853
