,0
2030-01-07,12.701999999999998
2030-01-14,28.142
2030-01-21,28.142
2030-01-28,28.142
2030-02-04,28.142
2030-02-11,28.142
2030-02-18,28.142
2030-02-25,28.142
2030-03-04,28.142
2030-03-11,28.142
2030-03-18,28.142
2030-03-25,28.142
2030-04-01,28.142
2030-04-08,28.142
2030-04-15,28.142
2030-04-22,28.142
2030-04-29,28.142
2030-05-06,28.142
2030-05-13,28.142
2030-05-20,28.142
2030-05-27,28.142
2030-06-03,30.878
2030-06-10,30.878
2030-06-17,30.878
2030-06-24,30.878
2030-07-01,30.878
2030-07-08,30.878
2030-07-15,30.878
2030-07-22,30.878
2030-07-29,30.878
2030-08-05,30.878
2030-08-12,30.878
2030-08-19,30.878
2030-08-26,30.878
2030-09-02,30.878
2030-09-09,28.142
2030-09-16,28.142
2030-09-23,23.672
2030-09-30,23.672
2030-10-07,12.701999999999998
2030-10-14,12.701999999999998
2030-10-21,12.701999999999998
2030-10-28,12.701999999999998
2030-11-04,12.701999999999998
2030-11-11,12.701999999999998
2030-11-18,12.701999999999998
2030-11-25,12.701999999999998
2030-12-02,12.701999999999998
2030-12-09,12.701999999999998
2030-12-16,12.701999999999998
2030-12-23,12.701999999999998
2030-12-30,12.701999999999998
