,0
2030-01-07,636.70082
2030-01-14,636.70082
2030-01-21,636.70082
2030-01-28,636.70082
2030-02-04,636.70082
2030-02-11,636.70082
2030-02-18,636.70082
2030-02-25,636.70082
2030-03-04,636.70082
2030-03-11,636.70082
2030-03-18,636.70082
2030-03-25,636.70082
2030-04-01,636.70082
2030-04-08,636.70082
2030-04-15,636.70082
2030-04-22,636.70082
2030-04-29,636.70082
2030-05-06,636.70082
2030-05-13,636.70082
2030-05-20,636.70082
2030-05-27,636.70082
2030-06-03,636.70082
2030-06-10,636.70082
2030-06-17,636.70082
2030-06-24,636.70082
2030-07-01,636.70082
2030-07-08,636.70082
2030-07-15,636.70082
2030-07-22,636.70082
2030-07-29,636.70082
2030-08-05,636.70082
2030-08-12,636.70082
2030-08-19,636.70082
2030-08-26,636.70082
2030-09-02,636.70082
2030-09-09,636.70082
2030-09-16,636.70082
2030-09-23,636.70082
2030-09-30,636.70082
2030-10-07,636.70082
2030-10-14,636.70082
2030-10-21,636.70082
2030-10-28,636.70082
2030-11-04,636.70082
2030-11-11,636.70082
2030-11-18,636.70082
2030-11-25,636.70082
2030-12-02,636.70082
2030-12-09,636.70082
2030-12-16,636.70082
2030-12-23,636.70082
2030-12-30,636.70082
