,0
2030-01-07,5425.392255
2030-01-14,5425.392255
2030-01-21,5425.392255
2030-01-28,5425.392255
2030-02-04,5425.392255
2030-02-11,5425.392255
2030-02-18,5425.392255
2030-02-25,5425.392255
2030-03-04,5425.392255
2030-03-11,5425.392255
2030-03-18,5425.392255
2030-03-25,5425.392255
2030-04-01,5425.392255
2030-04-08,5425.392255
2030-04-15,5425.392255
2030-04-22,5425.392255
2030-04-29,5425.392255
2030-05-06,5425.190592
2030-05-13,5425.190592
2030-05-20,5425.190592
2030-05-27,5425.190592
2030-06-03,5425.190592
2030-06-10,5425.190592
2030-06-17,5425.190592
2030-06-24,5425.190592
2030-07-01,5425.190592
2030-07-08,5425.190592
2030-07-15,5425.190592
2030-07-22,5425.190592
2030-07-29,5425.190592
2030-08-05,5425.190592
2030-08-12,5425.392255
2030-08-19,5425.392255
2030-08-26,5425.392255
2030-09-02,5425.392255
2030-09-09,5425.392255
2030-09-16,5425.392255
2030-09-23,5425.392255
2030-09-30,5425.392255
2030-10-07,5425.392255
2030-10-14,5425.392255
2030-10-21,5425.392255
2030-10-28,5425.392255
2030-11-04,5425.392255
2030-11-11,5425.392255
2030-11-18,5425.392255
2030-11-25,5425.392255
2030-12-02,5425.392255
2030-12-09,5425.392255
2030-12-16,5425.392255
2030-12-23,5425.392255
2030-12-30,5425.392255
