,0
2030-01-07,4.3865
2030-01-14,4.3865
2030-01-21,4.3865
2030-01-28,4.3865
2030-02-04,4.3865
2030-02-11,4.3865
2030-02-18,4.3865
2030-02-25,4.3865
2030-03-04,4.3865
2030-03-11,4.3865
2030-03-18,4.3865
2030-03-25,4.3865
2030-04-01,4.3865
2030-04-08,4.3865
2030-04-15,4.3865
2030-04-22,4.3865
2030-04-29,4.3865
2030-05-06,4.3865
2030-05-13,4.3865
2030-05-20,4.3865
2030-05-27,4.3865
2030-06-03,4.3865
2030-06-10,4.3865
2030-06-17,4.3865
2030-06-24,4.3865
2030-07-01,4.3865
2030-07-08,4.3865
2030-07-15,4.3865
2030-07-22,4.3865
2030-07-29,4.3865
2030-08-05,4.3865
2030-08-12,4.3865
2030-08-19,4.3865
2030-08-26,4.3865
2030-09-02,4.3865
2030-09-09,4.3865
2030-09-16,4.3865
2030-09-23,4.3865
2030-09-30,4.3865
2030-10-07,4.3865
2030-10-14,4.3865
2030-10-21,4.3865
2030-10-28,4.3865
2030-11-04,4.3865
2030-11-11,4.3865
2030-11-18,4.3865
2030-11-25,4.3865
2030-12-02,4.3865
2030-12-09,4.3865
2030-12-16,4.3865
2030-12-23,4.3865
2030-12-30,4.3865
