,0
2030-01-07,24474.18382600001
2030-01-14,24474.18382600001
2030-01-21,24474.18382600001
2030-01-28,24474.18382600001
2030-02-04,24474.18382600001
2030-02-11,24474.18382600001
2030-02-18,24474.18382600001
2030-02-25,24474.18382600001
2030-03-04,24474.18382600001
2030-03-11,24474.18382600001
2030-03-18,24474.18382600001
2030-03-25,24474.18382600001
2030-04-01,24474.18382600001
2030-04-08,24474.18382600001
2030-04-15,24474.18382600001
2030-04-22,24474.18382600001
2030-04-29,24474.18382600001
2030-05-06,24474.18382600001
2030-05-13,24474.18382600001
2030-05-20,24474.18382600001
2030-05-27,24474.18382600001
2030-06-03,24474.18382600001
2030-06-10,24474.18382600001
2030-06-17,24474.18382600001
2030-06-24,24474.18382600001
2030-07-01,24474.18382600001
2030-07-08,24474.18382600001
2030-07-15,24474.18382600001
2030-07-22,24474.18382600001
2030-07-29,24474.18382600001
2030-08-05,24474.18382600001
2030-08-12,24474.18382600001
2030-08-19,24474.18382600001
2030-08-26,24474.18382600001
2030-09-02,24474.18382600001
2030-09-09,24474.18382600001
2030-09-16,24474.18382600001
2030-09-23,24474.18382600001
2030-09-30,24474.18382600001
2030-10-07,24474.18382600001
2030-10-14,24474.18382600001
2030-10-21,24474.18382600001
2030-10-28,24474.18382600001
2030-11-04,24474.18382600001
2030-11-11,24474.18382600001
2030-11-18,24474.18382600001
2030-11-25,24435.96982600001
2030-12-02,24435.96982600001
2030-12-09,24435.96982600001
2030-12-16,24435.96982600001
2030-12-23,24435.96982600001
2030-12-30,24474.18382600001
