,0
2030-01-07,5278.63148
2030-01-14,5278.63148
2030-01-21,5278.63148
2030-01-28,5278.63148
2030-02-04,5278.63148
2030-02-11,5278.63148
2030-02-18,5278.63148
2030-02-25,5278.63148
2030-03-04,5278.63148
2030-03-11,5278.63148
2030-03-18,5278.63148
2030-03-25,5278.63148
2030-04-01,5278.63148
2030-04-08,5278.63148
2030-04-15,5278.63148
2030-04-22,5278.63148
2030-04-29,5278.63148
2030-05-06,5278.63148
2030-05-13,5278.63148
2030-05-20,5278.63148
2030-05-27,5278.63148
2030-06-03,5278.63148
2030-06-10,5278.63148
2030-06-17,5278.63148
2030-06-24,5278.63148
2030-07-01,5278.63148
2030-07-08,5278.63148
2030-07-15,5278.63148
2030-07-22,5278.63148
2030-07-29,5278.63148
2030-08-05,5278.63148
2030-08-12,5278.63148
2030-08-19,5278.63148
2030-08-26,5278.63148
2030-09-02,5278.63148
2030-09-09,5278.63148
2030-09-16,5278.63148
2030-09-23,5278.63148
2030-09-30,5278.63148
2030-10-07,5278.63148
2030-10-14,5278.63148
2030-10-21,5278.63148
2030-10-28,5278.63148
2030-11-04,5278.63148
2030-11-11,5278.63148
2030-11-18,5278.63148
2030-11-25,5278.63148
2030-12-02,5278.63148
2030-12-09,5278.63148
2030-12-16,5278.63148
2030-12-23,5278.63148
2030-12-30,5278.63148
