,0
2030-01-07,66.9895
2030-01-14,66.9895
2030-01-21,66.9895
2030-01-28,66.9895
2030-02-04,66.9895
2030-02-11,66.9895
2030-02-18,66.9895
2030-02-25,66.9895
2030-03-04,66.9895
2030-03-11,66.9895
2030-03-18,66.9895
2030-03-25,66.9895
2030-04-01,66.9895
2030-04-08,66.9895
2030-04-15,66.9895
2030-04-22,66.9895
2030-04-29,66.9895
2030-05-06,73.1045
2030-05-13,73.1045
2030-05-20,75.0545
2030-05-27,75.0545
2030-06-03,76.742
2030-06-10,76.742
2030-06-17,88.262
2030-06-24,88.262
2030-07-01,88.262
2030-07-08,88.262
2030-07-15,88.262
2030-07-22,76.742
2030-07-29,76.742
2030-08-05,76.742
2030-08-12,76.742
2030-08-19,76.742
2030-08-26,76.742
2030-09-02,76.742
2030-09-09,75.0545
2030-09-16,75.0545
2030-09-23,73.1045
2030-09-30,73.1045
2030-10-07,66.9895
2030-10-14,66.9895
2030-10-21,66.9895
2030-10-28,66.9895
2030-11-04,66.9895
2030-11-11,66.9895
2030-11-18,66.9895
2030-11-25,66.9895
2030-12-02,66.9895
2030-12-09,66.9895
2030-12-16,66.9895
2030-12-23,66.9895
2030-12-30,66.9895
