,0
2030-01-07,222.0733
2030-01-14,222.0733
2030-01-21,222.0733
2030-01-28,222.0733
2030-02-04,222.0733
2030-02-11,222.0733
2030-02-18,222.0733
2030-02-25,222.0733
2030-03-04,222.0733
2030-03-11,222.0733
2030-03-18,222.0733
2030-03-25,222.0733
2030-04-01,222.0733
2030-04-08,222.0733
2030-04-15,222.0733
2030-04-22,222.0733
2030-04-29,222.0733
2030-05-06,222.0733
2030-05-13,222.0733
2030-05-20,222.0733
2030-05-27,222.0733
2030-06-03,222.0733
2030-06-10,222.0733
2030-06-17,222.0733
2030-06-24,222.0733
2030-07-01,222.0733
2030-07-08,222.0733
2030-07-15,222.0733
2030-07-22,222.0733
2030-07-29,222.0733
2030-08-05,222.0733
2030-08-12,222.0733
2030-08-19,222.0733
2030-08-26,222.0733
2030-09-02,222.0733
2030-09-09,222.0733
2030-09-16,222.0733
2030-09-23,222.0733
2030-09-30,222.0733
2030-10-07,222.0733
2030-10-14,222.0733
2030-10-21,222.0733
2030-10-28,222.0733
2030-11-04,222.0733
2030-11-11,222.0733
2030-11-18,222.0733
2030-11-25,222.0733
2030-12-02,222.0733
2030-12-09,222.0733
2030-12-16,222.0733
2030-12-23,222.0733
2030-12-30,222.0733
