,0
2030-01-07,154.025
2030-01-14,154.025
2030-01-21,154.025
2030-01-28,154.025
2030-02-04,154.025
2030-02-11,154.025
2030-02-18,154.025
2030-02-25,154.025
2030-03-04,154.025
2030-03-11,154.025
2030-03-18,154.025
2030-03-25,154.025
2030-04-01,154.025
2030-04-08,154.025
2030-04-15,154.025
2030-04-22,154.025
2030-04-29,154.025
2030-05-06,154.025
2030-05-13,154.025
2030-05-20,154.025
2030-05-27,154.025
2030-06-03,154.025
2030-06-10,154.025
2030-06-17,154.025
2030-06-24,154.025
2030-07-01,154.025
2030-07-08,154.025
2030-07-15,154.025
2030-07-22,154.025
2030-07-29,154.025
2030-08-05,154.025
2030-08-12,154.025
2030-08-19,154.025
2030-08-26,154.025
2030-09-02,154.025
2030-09-09,154.025
2030-09-16,154.025
2030-09-23,154.025
2030-09-30,154.025
2030-10-07,154.025
2030-10-14,154.025
2030-10-21,154.025
2030-10-28,154.025
2030-11-04,154.025
2030-11-11,154.025
2030-11-18,154.025
2030-11-25,154.025
2030-12-02,154.025
2030-12-09,154.025
2030-12-16,154.025
2030-12-23,154.025
2030-12-30,154.025
