,0
2030-01-07,7893.42482
2030-01-14,7893.42482
2030-01-21,7893.42482
2030-01-28,7893.42482
2030-02-04,7893.42482
2030-02-11,7893.42482
2030-02-18,7893.42482
2030-02-25,7893.42482
2030-03-04,7893.42482
2030-03-11,7893.42482
2030-03-18,7893.42482
2030-03-25,7893.42482
2030-04-01,7893.42482
2030-04-08,7893.42482
2030-04-15,7893.42482
2030-04-22,7893.42482
2030-04-29,7893.42482
2030-05-06,7893.42482
2030-05-13,7893.42482
2030-05-20,7893.42482
2030-05-27,7893.42482
2030-06-03,7893.42482
2030-06-10,7893.42482
2030-06-17,7893.42482
2030-06-24,7893.42482
2030-07-01,7893.42482
2030-07-08,7893.42482
2030-07-15,7893.42482
2030-07-22,7893.42482
2030-07-29,7893.42482
2030-08-05,7893.42482
2030-08-12,7893.42482
2030-08-19,7893.42482
2030-08-26,7893.42482
2030-09-02,7893.42482
2030-09-09,7893.42482
2030-09-16,7893.42482
2030-09-23,7893.42482
2030-09-30,7893.42482
2030-10-07,7893.42482
2030-10-14,7893.42482
2030-10-21,7893.42482
2030-10-28,7893.42482
2030-11-04,7893.42482
2030-11-11,7893.42482
2030-11-18,7893.42482
2030-11-25,7893.42482
2030-12-02,7893.42482
2030-12-09,7893.42482
2030-12-16,7893.42482
2030-12-23,7893.42482
2030-12-30,7893.42482
