,0
2030-01-07,0.0
2030-01-14,0.0
2030-01-21,0.0
2030-01-28,0.0
2030-02-04,0.0
2030-02-11,0.0
2030-02-18,0.0
2030-02-25,0.0
2030-03-04,0.0
2030-03-11,0.0
2030-03-18,0.0
2030-03-25,0.0
2030-04-01,0.0
2030-04-08,0.0
2030-04-15,0.0
2030-04-22,0.0
2030-04-29,0.0
2030-05-06,0.0
2030-05-13,0.0
2030-05-20,0.0
2030-05-27,0.0
2030-06-03,0.0
2030-06-10,0.0
2030-06-17,0.0
2030-06-24,0.0
2030-07-01,0.0
2030-07-08,1163.68605
2030-07-15,1163.68605
2030-07-22,1163.68605
2030-07-29,1163.68605
2030-08-05,1163.68605
2030-08-12,1163.68605
2030-08-19,825.25367
2030-08-26,756.66152
2030-09-02,756.66152
2030-09-09,756.66152
2030-09-16,756.66152
2030-09-23,756.66152
2030-09-30,756.66152
2030-10-07,756.66152
2030-10-14,756.66152
2030-10-21,756.66152
2030-10-28,756.66152
2030-11-04,756.66152
2030-11-11,756.66152
2030-11-18,756.66152
2030-11-25,756.66152
2030-12-02,756.66152
2030-12-09,0.0
2030-12-16,0.0
2030-12-23,0.0
2030-12-30,0.0
